iter	Passed	Remaining
0	1181	1179980
1	1182	590288
2	1201	399178
3	1202	299386
4	1206	240092
5	1207	200038
6	1208	171475
7	1209	150034
8	1211	133356
9	1212	120008
10	1213	109082
11	1217	100278
12	1219	92560
13	1220	85936
14	1221	80210
15	1222	75201
16	1223	70772
17	1227	66943
18	1228	63405
19	1229	60240
20	1230	57356
21	1231	54740
22	1232	52357
23	1233	50176
24	1234	48162
25	1235	46301
26	1236	44574
27	1240	43074
28	1242	41601
29	1243	40210
30	1244	38906
31	1245	37680
32	1246	36531
33	1247	35447
34	1248	34422
35	1249	33452
36	1250	32534
37	1250	31669
38	1254	30903
39	1255	30142
40	1256	29398
41	1259	28719
42	1260	28052
43	1261	27412
44	1262	26800
45	1263	26213
46	1265	25649
47	1266	25113
48	1270	24655
49	1271	24156
50	1275	23741
51	1279	23330
52	1281	22902
53	1283	22489
54	1285	22082
55	1286	21690
56	1288	21312
57	1291	20969
58	1292	20611
59	1293	20264
60	1294	19928
61	1295	19604
62	1296	19287
63	1297	18980
64	1298	18682
65	1299	18394
66	1300	18114
67	1302	17845
68	1302	17580
69	1305	17337
70	1305	17088
71	1306	16843
72	1307	16605
73	1308	16373
74	1309	16147
75	1309	15926
76	1310	15712
77	1311	15505
78	1312	15302
79	1313	15103
80	1314	14909
81	1314	14719
82	1315	14530
83	1315	14349
84	1316	14171
85	1317	13998
86	1317	13829
87	1319	13674
88	1320	13513
89	1320	13354
90	1321	13200
91	1322	13050
92	1322	12902
93	1323	12757
94	1324	12614
95	1324	12475
96	1325	12339
97	1326	12205
98	1326	12074
99	1327	11946
100	1328	11820
101	1328	11697
102	1329	11576
103	1329	11458
104	1330	11341
105	1331	11227
106	1331	11115
107	1332	11006
108	1334	10905
109	1334	10800
110	1335	10696
111	1336	10594
112	1336	10493
113	1337	10395
114	1338	10298
115	1338	10203
116	1339	10108
117	1340	10016
118	1340	9925
119	1341	9836
120	1341	9748
121	1342	9661
122	1343	9577
123	1343	9493
124	1344	9411
125	1345	9330
126	1345	9250
127	1346	9172
128	1347	9097
129	1348	9027
130	1350	8956
131	1350	8883
132	1351	8812
133	1352	8741
134	1353	8670
135	1353	8601
136	1354	8532
137	1355	8465
138	1355	8398
139	1356	8333
140	1357	8268
141	1357	8203
142	1358	8140
143	1359	8078
144	1359	8017
145	1360	7957
146	1360	7897
147	1361	7838
148	1362	7780
149	1364	7729
150	1364	7673
151	1365	7617
152	1366	7562
153	1366	7508
154	1367	7454
155	1368	7401
156	1368	7349
157	1369	7298
158	1370	7247
159	1370	7196
160	1371	7145
161	1371	7096
162	1372	7048
163	1373	7000
164	1373	6952
165	1374	6906
166	1375	6859
167	1375	6814
168	1376	6768
169	1377	6724
170	1378	6683
171	1379	6640
172	1380	6597
173	1380	6554
174	1381	6512
175	1382	6470
176	1382	6428
177	1383	6388
178	1383	6347
179	1384	6307
180	1385	6268
181	1385	6228
182	1386	6190
183	1387	6151
184	1387	6114
185	1388	6076
186	1389	6039
187	1389	6002
188	1390	5966
189	1391	5930
190	1391	5895
191	1392	5861
192	1393	5828
193	1394	5794
194	1395	5759
195	1395	5726
196	1396	5692
197	1397	5659
198	1397	5626
199	1398	5594
200	1399	5562
201	1399	5530
202	1400	5498
203	1401	5467
204	1401	5436
205	1402	5405
206	1403	5375
207	1403	5345
208	1404	5315
209	1405	5285
210	1405	5256
211	1406	5227
212	1407	5198
213	1408	5173
214	1409	5145
215	1409	5117
216	1410	5089
217	1411	5061
218	1411	5034
219	1412	5007
220	1413	4980
221	1413	4954
222	1414	4927
223	1414	4901
224	1415	4875
225	1416	4850
226	1416	4824
227	1417	4799
